year,団体コード,都道府県名,市区町村名,総人口,日本人人口,外国人人口
2013,011011,北海道,札幌市中央区,221004,219066,1938
2013,011029,北海道,札幌市北区,278932,276871,2061
2013,011037,北海道,札幌市東区,256258,255094,1164
2013,011045,北海道,札幌市白石区,208196,207564,632
2013,011053,北海道,札幌市豊平区,215570,214448,1122
2013,011061,北海道,札幌市南区,143140,142678,462
2013,011070,北海道,札幌市西区,210440,209889,551
2013,011088,北海道,札幌市厚別区,129889,129416,473
2013,011096,北海道,札幌市手稲区,140866,140600,266
2013,011100,北海道,札幌市清田区,115369,114929,440
2013,012025,北海道,函館市,275263,274537,726
2013,012033,北海道,小樽市,128405,127970,435
2013,012041,北海道,旭川市,349332,348658,674
2013,012050,北海道,室蘭市,91987,91726,261
2013,012068,北海道,釧路市,180893,180456,437
2013,012076,北海道,帯広市,168678,168205,473
2013,012084,北海道,北見市,123525,123227,298
2013,012092,北海道,夕張市,10130,10042,88
2013,012106,北海道,岩見沢市,87976,87852,124
2013,012114,北海道,網走市,38219,38052,167
2013,012122,北海道,留萌市,23641,23545,96
2013,012131,北海道,苫小牧市,173912,173474,438
2013,012149,北海道,稚内市,37519,37228,291
2013,012157,北海道,美唄市,24811,24768,43
2013,012165,北海道,芦別市,16196,16136,60
2013,012173,北海道,江別市,120844,120499,345
2013,012181,北海道,赤平市,11935,11884,51
2013,012190,北海道,紋別市,24170,23922,248
2013,012203,北海道,士別市,21287,21238,49
2013,012211,北海道,名寄市,29573,29515,58
2013,012220,北海道,三笠市,9854,9841,13
2013,012238,北海道,根室市,28815,28553,262
2013,012246,北海道,千歳市,94731,94312,419
2013,012254,北海道,滝川市,42292,42216,76
2013,012262,北海道,砂川市,18444,18425,19
2013,012271,北海道,歌志内市,4123,4110,13
2013,012289,北海道,深川市,22847,22788,59
2013,012297,北海道,富良野市,23676,23595,81
2013,012301,北海道,登別市,50985,50886,99
2013,012319,北海道,恵庭市,68797,68577,220
2013,012335,北海道,伊達市,36201,36118,83
2013,012343,北海道,北広島市,60044,59896,148
2013,012351,北海道,石狩市,60408,60275,133
2013,012360,北海道,北斗市,48477,48393,84
2013,013030,北海道,石狩郡当別町,17835,17802,33
2013,013048,北海道,石狩郡新篠津村,3424,3417,7
2013,013315,北海道,松前郡松前町,8637,8622,15
2013,013323,北海道,松前郡福島町,4844,4821,23
2013,013331,北海道,上磯郡知内町,4948,4947,1
2013,013340,北海道,上磯郡木古内町,4894,4878,16
2013,013374,北海道,亀田郡七飯町,28712,28691,21
2013,013439,北海道,茅部郡鹿部町,4378,4341,37
2013,013455,北海道,茅部郡森町,17526,17309,217
2013,013463,北海道,二海郡八雲町,18286,18196,90
2013,013471,北海道,山越郡長万部町,5908,5849,59
2013,013617,北海道,檜山郡江差町,8591,8578,13
2013,013625,北海道,檜山郡上ノ国町,5670,5652,18
2013,013633,北海道,檜山郡厚沢部町,4411,4402,9
2013,013641,北海道,爾志郡乙部町,4248,4247,1
2013,013676,北海道,奥尻郡奥尻町,2978,2973,5
2013,013706,北海道,瀬棚郡今金町,5815,5813,2
2013,013714,北海道,久遠郡せたな町,9192,9165,27
2013,013919,北海道,島牧郡島牧村,1719,1718,1
2013,013927,北海道,寿都郡寿都町,3376,3333,43
2013,013935,北海道,寿都郡黒松内町,3142,3138,4
2013,013943,北海道,磯谷郡蘭越町,5221,5210,11
2013,013951,北海道,虻田郡ニセコ町,4820,4708,112
2013,013960,北海道,虻田郡真狩村,2135,2134,1
2013,013978,北海道,虻田郡留寿都村,1938,1917,21
2013,013986,北海道,虻田郡喜茂別町,2382,2354,28
2013,013994,北海道,虻田郡京極町,3298,3288,10
2013,014001,北海道,虻田郡倶知安町,15638,15207,431
2013,014010,北海道,岩内郡共和町,6418,6407,11
2013,014028,北海道,岩内郡岩内町,14319,14287,32
2013,014036,北海道,古宇郡泊村,1839,1836,3
2013,014044,北海道,古宇郡神恵内村,990,990,0
2013,014052,北海道,積丹郡積丹町,2427,2425,2
2013,014061,北海道,古平郡古平町,3564,3540,24
2013,014079,北海道,余市郡仁木町,3674,3649,25
2013,014087,北海道,余市郡余市町,20688,20532,156
2013,014095,北海道,余市郡赤井川村,1172,1152,20
2013,014231,北海道,空知郡南幌町,8411,8382,29
2013,014249,北海道,空知郡奈井江町,6075,6066,9
2013,014257,北海道,空知郡上砂川町,3747,3735,12
2013,014273,北海道,夕張郡由仁町,5815,5799,16
2013,014281,北海道,夕張郡長沼町,11689,11680,9
2013,014290,北海道,夕張郡栗山町,13070,12978,92
2013,014303,北海道,樺戸郡月形町,3764,3758,6
2013,014311,北海道,樺戸郡浦臼町,2140,2136,4
2013,014320,北海道,樺戸郡新十津川町,7032,7026,6
2013,014338,北海道,雨竜郡妹背牛町,3402,3401,1
2013,014346,北海道,雨竜郡秩父別町,2673,2670,3
2013,014362,北海道,雨竜郡雨竜町,2803,2801,2
2013,014371,北海道,雨竜郡北竜町,2113,2113,0
2013,014389,北海道,雨竜郡沼田町,3501,3500,1
2013,014524,北海道,上川郡鷹栖町,7344,7339,5
2013,014532,北海道,上川郡東神楽町,9915,9898,17
2013,014541,北海道,上川郡当麻町,7046,7043,3
2013,014559,北海道,上川郡比布町,4062,4056,6
2013,014567,北海道,上川郡愛別町,3264,3231,33
2013,014575,北海道,上川郡上川町,4056,4035,21
2013,014583,北海道,上川郡東川町,7917,7865,52
2013,014591,北海道,上川郡美瑛町,10747,10714,33
2013,014605,北海道,空知郡上富良野町,11586,11562,24
2013,014613,北海道,空知郡中富良野町,5466,5456,10
2013,014621,北海道,空知郡南富良野町,2779,2774,5
2013,014630,北海道,勇払郡占冠村,1198,1142,56
2013,014648,北海道,上川郡和寒町,3826,3816,10
2013,014656,北海道,上川郡剣淵町,3509,3508,1
2013,014681,北海道,上川郡下川町,3579,3569,10
2013,014699,北海道,中川郡美深町,4828,4819,9
2013,014702,北海道,中川郡音威子府村,797,795,2
2013,014711,北海道,中川郡中川町,1781,1778,3
2013,014729,北海道,雨竜郡幌加内町,1661,1659,2
2013,014818,北海道,増毛郡増毛町,5063,5009,54
2013,014826,北海道,留萌郡小平町,3540,3529,11
2013,014834,北海道,苫前郡苫前町,3509,3501,8
2013,014842,北海道,苫前郡羽幌町,7777,7773,4
2013,014851,北海道,苫前郡初山別村,1361,1360,1
2013,014869,北海道,天塩郡遠別町,3008,2986,22
2013,014877,北海道,天塩郡天塩町,3450,3433,17
2013,015113,北海道,宗谷郡猿払村,2820,2749,71
2013,015121,北海道,枝幸郡浜頓別町,4000,3931,69
2013,015130,北海道,枝幸郡中頓別町,1928,1925,3
2013,015148,北海道,枝幸郡枝幸町,8944,8888,56
2013,015164,北海道,天塩郡豊富町,4264,4245,19
2013,015172,北海道,礼文郡礼文町,2837,2814,23
2013,015181,北海道,利尻郡利尻町,2309,2300,9
2013,015199,北海道,利尻郡利尻富士町,2790,2775,15
2013,015202,北海道,天塩郡幌延町,2578,2554,24
2013,015431,北海道,網走郡美幌町,21125,21087,38
2013,015440,北海道,網走郡津別町,5474,5459,15
2013,015458,北海道,斜里郡斜里町,12476,12423,53
2013,015466,北海道,斜里郡清里町,4459,4455,4
2013,015474,北海道,斜里郡小清水町,5286,5266,20
2013,015491,北海道,常呂郡訓子府町,5471,5460,11
2013,015504,北海道,常呂郡置戸町,3267,3263,4
2013,015521,北海道,常呂郡佐呂間町,5802,5688,114
2013,015555,北海道,紋別郡遠軽町,21776,21724,52
2013,015598,北海道,紋別郡湧別町,9812,9713,99
2013,015601,北海道,紋別郡滝上町,2960,2953,7
2013,015610,北海道,紋別郡興部町,4184,4113,71
2013,015628,北海道,紋別郡西興部村,1146,1142,4
2013,015636,北海道,紋別郡雄武町,4847,4702,145
2013,015644,北海道,網走郡大空町,7932,7920,12
2013,015717,北海道,虻田郡豊浦町,4373,4351,22
2013,015750,北海道,有珠郡壮瞥町,2766,2763,3
2013,015784,北海道,白老郡白老町,18908,18833,75
2013,015814,北海道,勇払郡厚真町,4739,4727,12
2013,015849,北海道,虻田郡洞爺湖町,9854,9787,67
2013,015857,北海道,勇払郡安平町,8701,8673,28
2013,015865,北海道,勇払郡むかわ町,9361,9246,115
2013,016012,北海道,沙流郡日高町,13341,13209,132
2013,016021,北海道,沙流郡平取町,5663,5528,135
2013,016047,北海道,新冠郡新冠町,5802,5745,57
2013,016071,北海道,浦河郡浦河町,13608,13527,81
2013,016080,北海道,様似郡様似町,4926,4914,12
2013,016098,北海道,幌泉郡えりも町,5303,5267,36
2013,016101,北海道,日高郡新ひだか町,24855,24772,83
2013,016314,北海道,河東郡音更町,45466,45416,50
2013,016322,北海道,河東郡士幌町,6523,6478,45
2013,016331,北海道,河東郡上士幌町,5064,5030,34
2013,016349,北海道,河東郡鹿追町,5606,5575,31
2013,016357,北海道,上川郡新得町,6581,6503,78
2013,016365,北海道,上川郡清水町,10054,10022,32
2013,016373,北海道,河西郡芽室町,19334,19311,23
2013,016381,北海道,河西郡中札内村,4110,4090,20
2013,016390,北海道,河西郡更別村,3399,3391,8
2013,016411,北海道,広尾郡大樹町,5915,5882,33
2013,016420,北海道,広尾郡広尾町,7727,7707,20
2013,016438,北海道,中川郡幕別町,27647,27592,55
2013,016446,北海道,中川郡池田町,7431,7423,8
2013,016454,北海道,中川郡豊頃町,3465,3452,13
2013,016462,北海道,中川郡本別町,7960,7939,21
2013,016471,北海道,足寄郡足寄町,7502,7488,14
2013,016489,北海道,足寄郡陸別町,2643,2628,15
2013,016497,北海道,十勝郡浦幌町,5424,5415,9
2013,016616,北海道,釧路郡釧路町,20505,20490,15
2013,016624,北海道,厚岸郡厚岸町,10364,10289,75
2013,016632,北海道,厚岸郡浜中町,6398,6362,36
2013,016641,北海道,川上郡標茶町,8231,8197,34
2013,016659,北海道,川上郡弟子屈町,8051,8031,20
2013,016675,北海道,阿寒郡鶴居村,2526,2512,14
2013,016683,北海道,白糠郡白糠町,9021,9011,10
2013,016918,北海道,野付郡別海町,16057,15865,192
2013,016926,北海道,標津郡中標津町,24266,24208,58
2013,016934,北海道,標津郡標津町,5610,5587,23
2013,016942,北海道,目梨郡羅臼町,5869,5825,44
2013,022012,青森県,青森市,298462,297637,825
2013,022021,青森県,弘前市,180607,180070,537
2013,022039,青森県,八戸市,239172,238481,691
2013,022047,青森県,黒石市,36075,36012,63
2013,022055,青森県,五所川原市,59253,59140,113
2013,022063,青森県,十和田市,64523,64319,204
2013,022071,青森県,三沢市,41834,41517,317
2013,022080,青森県,むつ市,62652,62519,133
2013,022098,青森県,つがる市,35947,35922,25
2013,022101,青森県,平川市,33392,33339,53
2013,023019,青森県,東津軽郡平内町,12418,12396,22
2013,023035,青森県,東津軽郡今別町,3172,3167,5
2013,023043,青森県,東津軽郡蓬田村,3164,3163,1
2013,023078,青森県,東津軽郡外ヶ浜町,7129,7113,16
2013,023213,青森県,西津軽郡鰺ヶ沢町,11450,11428,22
2013,023230,青森県,西津軽郡深浦町,9523,9506,17
2013,023434,青森県,中津軽郡西目屋村,1493,1493,0
2013,023612,青森県,南津軽郡藤崎町,15810,15798,12
2013,023621,青森県,南津軽郡大鰐町,10987,10984,3
2013,023671,青森県,南津軽郡田舎館村,8254,8243,11
2013,023817,青森県,北津軽郡板柳町,14948,14920,28
2013,023841,青森県,北津軽郡鶴田町,14064,14043,21
2013,023876,青森県,北津軽郡中泊町,12692,12666,26
2013,024015,青森県,上北郡野辺地町,14550,14510,40
2013,024023,青森県,上北郡七戸町,17180,17136,44
2013,024058,青森県,上北郡六戸町,10765,10718,47
2013,024066,青森県,上北郡横浜町,5011,5002,9
2013,024082,青森県,上北郡東北町,19249,19193,56
2013,024112,青森県,上北郡六ヶ所村,10972,10908,64
2013,024121,青森県,上北郡おいらせ町,25133,25032,101
2013,024236,青森県,下北郡大間町,6051,6037,14
2013,024244,青森県,下北郡東通村,7143,7136,7
2013,024252,青森県,下北郡風間浦村,2291,2290,1
2013,024261,青森県,下北郡佐井村,2387,2385,2
2013,024414,青森県,三戸郡三戸町,11516,11461,55
2013,024422,青森県,三戸郡五戸町,18930,18884,46
2013,024431,青森県,三戸郡田子町,6381,6357,24
2013,024457,青森県,三戸郡南部町,20196,20154,42
2013,024465,青森県,三戸郡階上町,14381,14321,60
2013,024503,青森県,三戸郡新郷村,2853,2846,7
2013,032018,岩手県,盛岡市,294435,293162,1273
2013,032026,岩手県,宮古市,57575,57462,113
2013,032034,岩手県,大船渡市,39117,38912,205
2013,032051,岩手県,花巻市,101026,100721,305
2013,032069,岩手県,北上市,93910,93491,419
2013,032077,岩手県,久慈市,37440,37262,178
2013,032085,岩手県,遠野市,29624,29547,77
2013,032093,岩手県,一関市,126957,126177,780
2013,032107,岩手県,陸前高田市,20631,20564,67
2013,032115,岩手県,釜石市,37161,37096,65
2013,032131,岩手県,二戸市,29588,29432,156
2013,032140,岩手県,八幡平市,28308,28165,143
2013,032158,岩手県,奥州市,124235,123775,460
2013,032166,岩手県,滝沢市,54710,54614,96
2013,033014,岩手県,岩手郡雫石町,17893,17855,38
2013,033022,岩手県,岩手郡葛巻町,7137,7120,17
2013,033031,岩手県,岩手郡岩手町,15029,14926,103
2013,033219,岩手県,紫波郡紫波町,34044,33977,67
2013,033227,岩手県,紫波郡矢巾町,26670,26607,63
2013,033669,岩手県,和賀郡西和賀町,6542,6532,10
2013,033812,岩手県,胆沢郡金ケ崎町,16215,16108,107
2013,034029,岩手県,西磐井郡平泉町,8239,8228,11
2013,034410,岩手県,気仙郡住田町,6182,6120,62
2013,034614,岩手県,上閉伊郡大槌町,12892,12873,19
2013,034827,岩手県,下閉伊郡山田町,17099,17073,26
2013,034835,岩手県,下閉伊郡岩泉町,10690,10653,37
2013,034843,岩手県,下閉伊郡田野畑村,3794,3791,3
2013,034851,岩手県,下閉伊郡普代村,2975,2974,1
2013,035017,岩手県,九戸郡軽米町,10317,10255,62
2013,035033,岩手県,九戸郡野田村,4602,4591,11
2013,035068,岩手県,九戸郡九戸村,6436,6412,24
2013,035076,岩手県,九戸郡洋野町,18688,18627,61
2013,035246,岩手県,二戸郡一戸町,14019,13907,112
2013,041017,宮城県,仙台市青葉区,286009,281418,4591
2013,041025,宮城県,仙台市宮城野区,185105,183905,1200
2013,041033,宮城県,仙台市若林区,128992,128114,878
2013,041041,宮城県,仙台市太白区,222468,221112,1356
2013,041050,宮城県,仙台市泉区,215948,215051,897
2013,042021,宮城県,石巻市,151263,150677,586
