index,都道府県番号,都道府県,市区町村,総人口,外国人人口,level,parent_code
010006,01,北海道,-,5044825.0,65621.0,pref,
011002,01,北海道,札幌市,1955678.0,20665.0,city,010006
011011,01,北海道,札幌市中央区,245916.0,3918.0,ward,011002
011029,01,北海道,札幌市北区,284333.0,4049.0,ward,011002
011037,01,北海道,札幌市東区,260418.0,2400.0,ward,011002
011045,01,北海道,札幌市白石区,213531.0,2283.0,ward,011002
011053,01,北海道,札幌市豊平区,227092.0,2370.0,ward,011002
011061,01,北海道,札幌市南区,133337.0,1256.0,ward,011002
011070,01,北海道,札幌市西区,218835.0,1542.0,ward,011002
011088,01,北海道,札幌市厚別区,123293.0,1074.0,ward,011002
011096,01,北海道,札幌市手稲区,139810.0,919.0,ward,011002
011100,01,北海道,札幌市清田区,109113.0,854.0,ward,011002
012025,01,北海道,函館市,236515.0,1909.0,city,010006
012033,01,北海道,小樽市,104432.0,1089.0,city,010006
012041,01,北海道,旭川市,316183.0,1914.0,city,010006
012050,01,北海道,室蘭市,74855.0,581.0,city,010006
012068,01,北海道,釧路市,154271.0,1335.0,city,010006
012076,01,北海道,帯広市,160810.0,1530.0,city,010006
012084,01,北海道,北見市,110046.0,832.0,city,010006
012092,01,北海道,夕張市,6107.0,22.0,city,010006
012106,01,北海道,岩見沢市,74204.0,361.0,city,010006
012114,01,北海道,網走市,32199.0,543.0,city,010006
012122,01,北海道,留萌市,18169.0,218.0,city,010006
012131,01,北海道,苫小牧市,165590.0,1640.0,city,010006
012149,01,北海道,稚内市,30336.0,724.0,city,010006
012157,01,北海道,美唄市,18427.0,116.0,city,010006
012165,01,北海道,芦別市,11243.0,48.0,city,010006
012173,01,北海道,江別市,118055.0,1095.0,city,010006
012181,01,北海道,赤平市,8464.0,155.0,city,010006
012190,01,北海道,紋別市,19760.0,733.0,city,010006
012203,01,北海道,士別市,16440.0,160.0,city,010006
012211,01,北海道,名寄市,24742.0,118.0,city,010006
012220,01,北海道,三笠市,7268.0,44.0,city,010006
012238,01,北海道,根室市,22468.0,717.0,city,010006
012246,01,北海道,千歳市,97355.0,1324.0,city,010006
012254,01,北海道,滝川市,36515.0,142.0,city,010006
012262,01,北海道,砂川市,15231.0,60.0,city,010006
012271,01,北海道,歌志内市,2584.0,17.0,city,010006
012289,01,北海道,深川市,18329.0,163.0,city,010006
012297,01,北海道,富良野市,19624.0,627.0,city,010006
012301,01,北海道,登別市,43615.0,436.0,city,010006
012319,01,北海道,恵庭市,70446.0,1098.0,city,010006
012335,01,北海道,伊達市,31208.0,363.0,city,010006
012343,01,北海道,北広島市,56495.0,529.0,city,010006
012351,01,北海道,石狩市,57143.0,895.0,city,010006
012360,01,北海道,北斗市,42810.0,371.0,city,010006
013030,01,北海道,石狩郡当別町,15113.0,239.0,city,010006
013048,01,北海道,石狩郡新篠津村,2730.0,13.0,city,010006
013315,01,北海道,松前郡松前町,5818.0,50.0,city,010006
013323,01,北海道,松前郡福島町,3378.0,34.0,city,010006
013331,01,北海道,上磯郡知内町,3783.0,64.0,city,010006
013340,01,北海道,上磯郡木古内町,3528.0,22.0,city,010006
013374,01,北海道,亀田郡七飯町,27139.0,192.0,city,010006
013439,01,北海道,茅部郡鹿部町,3508.0,177.0,city,010006
013455,01,北海道,茅部郡森町,13582.0,620.0,city,010006
013463,01,北海道,二海郡八雲町,14514.0,456.0,city,010006
013471,01,北海道,山越郡長万部町,4696.0,280.0,city,010006
013617,01,北海道,檜山郡江差町,6607.0,35.0,city,010006
013625,01,北海道,檜山郡上ノ国町,4133.0,47.0,city,010006
013633,01,北海道,檜山郡厚沢部町,3269.0,41.0,city,010006
013641,01,北海道,爾志郡乙部町,3107.0,33.0,city,010006
013676,01,北海道,奥尻郡奥尻町,2138.0,7.0,city,010006
013706,01,北海道,瀬棚郡今金町,4444.0,11.0,city,010006
013714,01,北海道,久遠郡せたな町,6730.0,85.0,city,010006
013919,01,北海道,島牧郡島牧村,1246.0,2.0,city,010006
013927,01,北海道,寿都郡寿都町,2629.0,88.0,city,010006
013935,01,北海道,寿都郡黒松内町,2446.0,40.0,city,010006
013943,01,北海道,磯谷郡蘭越町,4501.0,228.0,city,010006
013951,01,北海道,虻田郡ニセコ町,5551.0,1053.0,city,010006
013960,01,北海道,虻田郡真狩村,1938.0,87.0,city,010006
013978,01,北海道,虻田郡留寿都村,2018.0,399.0,city,010006
013986,01,北海道,虻田郡喜茂別町,1928.0,97.0,city,010006
013994,01,北海道,虻田郡京極町,2776.0,138.0,city,010006
014001,01,北海道,虻田郡倶知安町,17120.0,3627.0,city,010006
014010,01,北海道,岩内郡共和町,5364.0,49.0,city,010006
014028,01,北海道,岩内郡岩内町,10913.0,153.0,city,010006
014036,01,北海道,古宇郡泊村,1420.0,12.0,city,010006
014044,01,北海道,古宇郡神恵内村,740.0,1.0,city,010006
014052,01,北海道,積丹郡積丹町,1702.0,15.0,city,010006
014061,01,北海道,古平郡古平町,2589.0,60.0,city,010006
014079,01,北海道,余市郡仁木町,3051.0,70.0,city,010006
014087,01,北海道,余市郡余市町,16954.0,258.0,city,010006
014095,01,北海道,余市郡赤井川村,1492.0,527.0,city,010006
014231,01,北海道,空知郡南幌町,7933.0,86.0,city,010006
014249,01,北海道,空知郡奈井江町,4704.0,31.0,city,010006
014257,01,北海道,空知郡上砂川町,2360.0,31.0,city,010006
014273,01,北海道,夕張郡由仁町,4527.0,43.0,city,010006
014281,01,北海道,夕張郡長沼町,9937.0,74.0,city,010006
014290,01,北海道,夕張郡栗山町,10653.0,74.0,city,010006
014303,01,北海道,樺戸郡月形町,2732.0,10.0,city,010006
014311,01,北海道,樺戸郡浦臼町,1577.0,11.0,city,010006
014320,01,北海道,樺戸郡新十津川町,6229.0,30.0,city,010006
014338,01,北海道,雨竜郡妹背牛町,2565.0,53.0,city,010006
014346,01,北海道,雨竜郡秩父別町,2182.0,5.0,city,010006
014362,01,北海道,雨竜郡雨竜町,2044.0,19.0,city,010006
014371,01,北海道,雨竜郡北竜町,1593.0,10.0,city,010006
014389,01,北海道,雨竜郡沼田町,2798.0,13.0,city,010006
014524,01,北海道,上川郡鷹栖町,6463.0,23.0,city,010006
014532,01,北海道,上川郡東神楽町,9775.0,64.0,city,010006
014541,01,北海道,上川郡当麻町,6054.0,20.0,city,010006
014559,01,北海道,上川郡比布町,3425.0,28.0,city,010006
014567,01,北海道,上川郡愛別町,2418.0,64.0,city,010006
014575,01,北海道,上川郡上川町,3085.0,105.0,city,010006
014583,01,北海道,上川郡東川町,8673.0,535.0,city,010006
014591,01,北海道,上川郡美瑛町,9283.0,165.0,city,010006
014605,01,北海道,空知郡上富良野町,9706.0,129.0,city,010006
014613,01,北海道,空知郡中富良野町,4486.0,79.0,city,010006
014621,01,北海道,空知郡南富良野町,2236.0,62.0,city,010006
014630,01,北海道,勇払郡占冠村,1590.0,582.0,city,010006
014648,01,北海道,上川郡和寒町,2807.0,15.0,city,010006
014656,01,北海道,上川郡剣淵町,2728.0,23.0,city,010006
014681,01,北海道,上川郡下川町,2836.0,26.0,city,010006
014699,01,北海道,中川郡美深町,3681.0,56.0,city,010006
014702,01,北海道,中川郡音威子府村,601.0,1.0,city,010006
014711,01,北海道,中川郡中川町,1269.0,10.0,city,010006
014729,01,北海道,雨竜郡幌加内町,1222.0,13.0,city,010006
014818,01,北海道,増毛郡増毛町,3620.0,113.0,city,010006
014826,01,北海道,留萌郡小平町,2664.0,93.0,city,010006
014834,01,北海道,苫前郡苫前町,2666.0,80.0,city,010006
014842,01,北海道,苫前郡羽幌町,5945.0,78.0,city,010006
014851,01,北海道,苫前郡初山別村,1005.0,17.0,city,010006
014869,01,北海道,天塩郡遠別町,2258.0,103.0,city,010006
014877,01,北海道,天塩郡天塩町,2642.0,76.0,city,010006
015113,01,北海道,宗谷郡猿払村,2589.0,182.0,city,010006
015121,01,北海道,枝幸郡浜頓別町,3221.0,122.0,city,010006
015130,01,北海道,枝幸郡中頓別町,1472.0,8.0,city,010006
015148,01,北海道,枝幸郡枝幸町,7199.0,266.0,city,010006
015164,01,北海道,天塩郡豊富町,3515.0,56.0,city,010006
015172,01,北海道,礼文郡礼文町,2183.0,33.0,city,010006
015181,01,北海道,利尻郡利尻町,1830.0,3.0,city,010006
015199,01,北海道,利尻郡利尻富士町,2151.0,9.0,city,010006
015202,01,北海道,天塩郡幌延町,2042.0,40.0,city,010006
015431,01,北海道,網走郡美幌町,17329.0,208.0,city,010006
